"gloss","bbox","fps","frame_end","frame_start","instance_id","signer_id","source","split","url","variation_id","video_id","is_available"
"book","[385, 37, 885, 720]","25","-1","1","0","118","aslbrick","train","http://aslbricks.org/New/ASL-Videos/book.mp4","0","v_id_69241","True"
"book","[462, 44, 949, 720]","25","-1","1","10","31","signschool","train","https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4","0","v_id_07069","True"
"book","[234, 17, 524, 414]","25","-1","1","17","36","startasl","train","https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/book.mp4","0","v_id_07068","True"
"book","[131, 26, 526, 480]","25","-1","1","22","59","asldeafined","train","https://media.asldeafined.com/vocabulary/1466684225.687.mp4","0","v_id_07070","True"
"book","[162, 54, 528, 400]","25","-1","1","24","12","aslsearch","val","http://www.aslsearch.com/signs/videos/book.mp4","0","v_id_07099","True"
"book","[82, 11, 212, 192]","25","-1","1","29","11","signingsavvy","train","https://www.signingsavvy.com/signs/mp4/14/14326.mp4","0","v_id_07074","True"
"drink","[551, 68, 1350, 1080]","25","-1","1","0","115","aslbrick","val","http://aslbricks.org/New/ASL-Videos/drink.mp4","0","v_id_69302","True"
"drink","[153, 11, 488, 370]","25","-1","1","1","94","aslsignbank","train","https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-119.mp4","0","v_id_65539","True"
"drink","[196, 15, 521, 414]","25","-1","1","11","36","startasl","train","https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/drink.mp4","0","v_id_17710","True"
"drink","[186, 63, 551, 400]","25","-1","1","16","12","aslsearch","train","http://www.aslsearch.com/signs/videos/drink-alcohol.mp4","0","v_id_17733","True"
"drink","[167, 19, 480, 370]","25","-1","1","17","94","aslsignbank","train","https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-120.mp4","0","v_id_65540","True"
"drink","[183, 55, 552, 400]","25","-1","1","18","12","aslsearch","val","http://www.aslsearch.com/signs/videos/drink.mp4","0","v_id_17734","True"
"drink","[289, 9, 783, 480]","25","-1","1","19","52","signschool","train","https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink%20(correct)-0UzEF7ru0sQ.mp4","0","v_id_17711","True"
"drink","[673, 90, 1571, 1072]","25","-1","1","20","6","signschool","train","https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink-L6hHRIQzWBo.mp4","0","v_id_17712","True"
"drink","[28, 0, 542, 480]","25","-1","1","21","21","asldeafined","test","https://media.asldeafined.com/vocabulary/1467773819.9825.mp4","0","v_id_17713","True"
"drink","[41, 9, 257, 240]","25","-1","1","27","2","spreadthesign","train","https://media.spreadthesign.com/video/mp4/13/153289.mp4","0","v_id_17709","True"
"drink","[49, 3, 220, 192]","25","-1","1","30","11","signingsavvy","train","https://www.signingsavvy.com/signs/mp4/14/14885.mp4","0","v_id_17720","True"
"drink","[66, 19, 209, 192]","25","-1","1","31","10","signingsavvy","train","https://www.signingsavvy.com/signs/mp4/23/23388.mp4","0","v_id_17721","True"
"drink","[66, 19, 209, 192]","25","-1","1","32","10","signingsavvy","train","https://www.signingsavvy.com/signs/mp4/23/23388.mp4","0","v_id_17722","True"
"drink","[65, 20, 208, 192]","25","-1","1","33","10","signingsavvy","train","https://www.signingsavvy.com/signs/mp4/23/23389.mp4","0","v_id_17723","True"
"drink","[68, 18, 220, 192]","25","-1","1","34","11","signingsavvy","val","https://www.signingsavvy.com/signs/mp4/7/7796.mp4","0","v_id_17724","True"
"computer","[56, 11, 240, 192]","25","-1","1","3","11","signingsavvy","train","https://www.signingsavvy.com/signs/mp4/6/6326.mp4","1","v_id_12328","True"
"computer","[422, 50, 824, 720]","25","-1","1","6","38","startasl","val","https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/computer-2.mp4","0","v_id_12312","True"
"computer","[27, 0, 313, 240]","25","-1","1","13","56","spreadthesign","train","https://media.spreadthesign.com/video/mp4/13/51378.mp4","1","v_id_12311","True"
"computer","[221, 42, 501, 400]","25","-1","1","15","41","aslsearch","train","http://www.aslsearch.com/signs/videos/computer.mp4","1","v_id_12338","True"
"computer","[409, 51, 833, 720]","25","-1","1","16","38","startasl","train","https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/computer.mp4","1","v_id_12313","True"
